Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
0,-0.537,0.464,0.668,60,3
1,-0.554,0.479,0.666,60,3
2,-0.58,0.472,0.653,60,3
3,-0.574,0.458,0.654,60,3
4,-0.56,0.449,0.68,60,3
5,-0.577,0.433,0.685,60,3
6,-0.593,0.447,0.661,60,3
7,-0.613,0.442,0.654,60,3
8,-0.626,0.419,0.673,60,3
9,-0.629,0.42,0.672,60,3
10,-0.623,0.431,0.656,60,3
11,-0.611,0.443,0.649,60,3
12,-0.611,0.458,0.637,60,3
13,-0.594,0.468,0.652,60,3
14,-0.583,0.474,0.66,60,3
15,-0.609,0.492,0.608,60,3
16,-0.612,0.517,0.57,60,3
17,-0.582,0.515,0.584,60,3
18,-0.573,0.513,0.596,60,3
19,-0.578,0.522,0.592,60,3
20,-0.591,0.537,0.593,60,3
21,-0.635,0.495,0.582,60,3
22,-0.639,0.449,0.628,60,3
23,-0.639,0.449,0.628,60,3
24,-0.639,0.449,0.628,60,3
25,-0.598,0.485,0.669,60,3
26,-0.599,0.524,0.63,60,3
27,-0.553,0.537,0.626,60,3
28,-0.538,0.539,0.638,60,3
29,-0.586,0.549,0.618,60,3
30,-0.542,0.584,0.613,60,3
31,-0.481,0.608,0.62,60,3
32,-0.474,0.613,0.611,60,3
33,-0.457,0.625,0.605,60,3
34,-0.444,0.635,0.6,60,3
35,-0.472,0.636,0.586,60,3
36,-0.472,0.625,0.603,60,3
37,-0.453,0.607,0.636,60,3
38,-0.468,0.6,0.641,60,3
39,-0.468,0.598,0.635,60,3
40,-0.476,0.584,0.624,60,3
41,-0.508,0.57,0.629,60,3
42,-0.54,0.544,0.655,60,3
43,-0.567,0.532,0.649,60,3
44,-0.583,0.539,0.624,60,3
45,-0.601,0.522,0.614,60,3
46,-0.588,0.522,0.605,60,3
47,-0.574,0.55,0.591,60,3
48,-0.576,0.565,0.57,60,3
49,-0.574,0.586,0.547,60,3
50,-0.56,0.604,0.54,60,3
51,-0.549,0.611,0.538,60,3
52,-0.535,0.631,0.528,60,3
53,-0.53,0.646,0.511,60,3
54,-0.541,0.632,0.522,60,3
55,-0.568,0.612,0.525,60,3
56,-0.581,0.604,0.526,60,3
57,-0.593,0.592,0.538,60,3
58,-0.632,0.549,0.532,60,3
59,-0.627,0.536,0.58,59,3
60,-0.597,0.556,0.62,59,3
