Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
0,-0.87,0.093,-0.591,60,4
1,-0.84,0.073,-0.549,60,4
2,-0.786,0.048,-0.449,60,4
3,-0.761,0.02,-0.311,60,4
4,-0.628,-0.02,-0.208,60,4
5,-0.173,0.033,-0.1,60,4
6,0.409,0.426,0.044,60,4
7,0.223,1.168,-0.238,60,4
8,-0.348,1.761,-0.717,60,4
9,-0.507,1.705,-0.646,60,4
10,-0.426,1.407,-0.334,60,4
11,-0.282,1.306,-0.244,60,4
12,-0.309,1.245,-0.315,60,4
13,-0.407,1.191,-0.373,60,4
14,-0.43,1.158,-0.346,60,4
15,-0.402,1.14,-0.292,60,4
16,-0.385,1.128,-0.258,60,4
17,-0.375,1.116,-0.246,60,4
18,-0.383,1.082,-0.21,60,4
19,-0.395,1.033,-0.169,60,4
20,-0.398,0.994,-0.138,60,4
21,-0.384,0.976,-0.115,60,4
22,-0.358,1.004,-0.124,60,4
23,-0.358,1.004,-0.124,60,4
24,-0.358,1.004,-0.124,60,4
25,-0.34,1.07,-0.143,60,4
26,-0.317,1.101,-0.146,60,4
27,-0.306,1.095,-0.122,60,4
28,-0.292,1.107,-0.105,60,4
29,-0.245,1.12,-0.12,60,4
30,-0.185,1.111,-0.14,60,4
31,-0.149,1.103,-0.142,60,4
32,-0.128,1.083,-0.15,60,4
33,-0.124,1.029,-0.149,60,4
34,-0.131,0.978,-0.124,60,4
35,-0.139,0.928,-0.095,60,4
36,-0.15,0.872,-0.064,60,4
37,-0.164,0.828,-0.026,60,4
38,-0.187,0.823,0.018,60,4
39,-0.211,0.861,0.056,60,4
40,-0.23,0.911,0.101,60,4
41,-0.239,0.959,0.167,60,4
42,-0.244,1.028,0.22,60,4
43,-0.257,1.116,0.208,60,4
44,-0.264,1.142,0.136,60,4
45,-0.255,1.094,0.065,60,4
46,-0.241,1.041,0.009,60,4
47,-0.236,1.015,-0.041,60,4
48,-0.241,1.002,-0.073,60,4
49,-0.245,0.973,-0.091,60,4
50,-0.245,0.93,-0.101,60,4
51,-0.246,0.907,-0.104,60,4
52,-0.251,0.92,-0.111,60,4
53,-0.257,0.958,-0.116,60,4
54,-0.259,1.012,-0.082,60,4
55,-0.234,1.05,0.008,60,4
56,-0.204,1.047,0.084,60,4
57,-0.201,1.023,0.087,60,4
58,-0.206,1,0.045,60,4
59,-0.209,0.986,-0.01,59,4
60,-0.216,0.974,-0.063,59,4
61,-0.232,0.966,-0.094,59,4
62,-0.242,0.964,-0.11,59,4
63,-0.242,0.968,-0.122,59,4
64,-0.239,0.974,-0.125,59,4
65,-0.24,0.976,-0.118,59,4
66,-0.243,0.98,-0.105,59,4
67,-0.244,0.991,-0.085,59,4
68,-0.241,1.002,-0.061,59,4
69,-0.237,1.005,-0.045,59,4
70,-0.227,1.002,-0.051,59,4
71,-0.219,0.998,-0.07,59,4
72,-0.219,0.993,-0.09,59,4
73,-0.222,0.99,-0.105,59,4
74,-0.227,0.987,-0.113,59,4
75,-0.231,0.983,-0.118,59,4
76,-0.232,0.981,-0.124,59,4
77,-0.234,0.981,-0.126,59,4
78,-0.236,0.982,-0.125,59,4
79,-0.237,0.986,-0.122,59,4
80,-0.236,0.989,-0.116,59,4
81,-0.231,0.991,-0.108,59,4
82,-0.229,0.992,-0.102,59,4
83,-0.235,0.992,-0.101,59,4
84,-0.239,0.986,-0.101,59,4
85,-0.241,0.983,-0.104,59,4
86,-0.243,0.983,-0.109,59,4
87,-0.245,0.983,-0.115,59,4
88,-0.244,0.984,-0.121,59,4
89,-0.24,0.982,-0.124,59,4
90,-0.233,0.977,-0.124,59,4
91,-0.223,0.978,-0.125,59,4
92,-0.217,0.979,-0.126,59,4
93,-0.21,0.978,-0.132,59,4
94,-0.202,0.977,-0.145,59,4
95,-0.197,0.976,-0.154,59,4
96,-0.191,0.978,-0.155,59,4
97,-0.19,0.982,-0.147,59,4
98,-0.194,0.985,-0.139,59,4
99,-0.196,0.989,-0.132,59,4
100,-0.196,0.992,-0.122,59,4
101,-0.198,0.992,-0.111,59,4
102,-0.204,0.99,-0.103,59,4
103,-0.215,0.989,-0.103,59,4
104,-0.226,0.986,-0.108,59,4
105,-0.231,0.984,-0.114,59,4
106,-0.235,0.98,-0.12,59,4
107,-0.24,0.98,-0.123,59,4
108,-0.244,0.983,-0.125,59,4
109,-0.246,0.985,-0.125,59,4
110,-0.248,0.986,-0.123,59,4
111,-0.249,0.986,-0.119,59,4
112,-0.249,0.986,-0.116,59,4
113,-0.246,0.986,-0.112,59,4
114,-0.239,0.987,-0.108,59,4
115,-0.228,0.988,-0.109,59,4
116,-0.219,0.988,-0.111,59,4
117,-0.215,0.988,-0.116,59,4
118,-0.212,0.986,-0.121,59,4
119,-0.21,0.982,-0.123,59,4
120,-0.207,0.98,-0.125,59,4
121,-0.204,0.981,-0.125,59,4
122,-0.204,0.983,-0.125,59,4
123,-0.207,0.985,-0.121,59,4
124,-0.211,0.985,-0.112,59,4
125,-0.218,0.987,-0.102,59,4
126,-0.227,0.99,-0.1,59,4
127,-0.233,0.989,-0.102,59,4
128,-0.236,0.987,-0.105,59,4
129,-0.235,0.981,-0.111,59,4
130,-0.236,0.975,-0.115,59,4
131,-0.237,0.976,-0.117,59,4
132,-0.238,0.981,-0.118,59,4
133,-0.238,0.985,-0.118,59,4
134,-0.238,0.987,-0.117,59,4
135,-0.234,0.988,-0.114,59,4
136,-0.229,0.988,-0.11,59,4
137,-0.227,0.987,-0.106,59,4
138,-0.226,0.986,-0.105,59,4
139,-0.227,0.987,-0.108,59,4
140,-0.229,0.989,-0.111,59,4
141,-0.23,0.988,-0.114,59,4
142,-0.23,0.983,-0.114,59,4
143,-0.228,0.979,-0.113,59,4
144,-0.218,0.981,-0.12,59,4
145,-0.213,0.985,-0.125,59,4
146,-0.221,0.992,-0.123,59,4
147,-0.225,0.996,-0.117,59,4
148,-0.223,0.994,-0.108,59,4
149,-0.216,0.993,-0.097,60,4
150,-0.208,0.993,-0.09,60,4
151,-0.197,0.992,-0.093,60,4
152,-0.187,0.991,-0.101,60,4
153,-0.189,0.989,-0.107,60,4
154,-0.199,0.98,-0.106,60,4
155,-0.213,0.971,-0.101,60,4
156,-0.227,0.969,-0.091,60,4
157,-0.237,0.973,-0.085,60,4
158,-0.243,0.981,-0.087,60,4
159,-0.249,0.987,-0.088,60,4
160,-0.25,0.988,-0.083,60,4
161,-0.245,0.985,-0.076,60,4
162,-0.235,0.982,-0.074,60,4
163,-0.231,0.979,-0.073,60,4
164,-0.235,0.978,-0.075,60,4
165,-0.241,0.979,-0.081,60,4
166,-0.246,0.979,-0.078,60,4
167,-0.248,0.976,-0.074,60,4
168,-0.246,0.978,-0.074,60,4
169,-0.246,0.98,-0.076,61,4
170,-0.245,0.982,-0.082,61,4
171,-0.245,0.986,-0.084,61,4
172,-0.246,0.986,-0.081,61,4
173,-0.247,0.986,-0.08,61,4
174,-0.247,0.987,-0.08,61,4
175,-0.246,0.987,-0.082,61,4
176,-0.246,0.989,-0.084,61,4
177,-0.247,0.989,-0.085,61,4
178,-0.247,0.985,-0.083,61,4
