Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
0,57927,57825,0.086,0.675,0.804,60,0,OTHER
1,90513,90552,0.072,0.695,0.814,60,0,OTHER
2,116404,123361,0.072,0.808,0.716,60,0,OTHER
3,116794,155961,-0.055,1.154,0.64,60,0,OTHER
4,116243,188398,-0.358,1.302,0.698,60,0,OTHER
5,117148,191522,-0.648,1.004,0.746,60,0,OTHER
6,118178,193703,-0.803,0.589,0.789,60,0,OTHER
7,118836,194915,-0.784,0.14,0.772,60,0,OTHER
8,120112,196462,-0.685,-0.203,0.687,60,0,OTHER
9,120928,197892,-0.527,-0.421,0.761,60,0,OTHER
10,121163,197797,-0.322,-0.678,0.866,60,0,OTHER
11,121421,196904,-0.147,-0.979,0.862,60,0,OTHER
12,120056,194135,-0.098,-1.082,0.809,60,0,OTHER
13,120619,194876,-0.359,-0.798,0.82,60,0,OTHER
14,120263,195066,-1.114,-0.002,1.184,60,0,OTHER
15,117236,193192,-1.89,1.03,1.529,60,0,OTHER
16,116174,193358,-1.863,1.471,1.242,60,0,OTHER
17,117622,196508,-1.255,1.29,0.607,60,0,OTHER
18,118842,198426,-0.644,0.973,0.181,60,0,OTHER
19,119494,199077,-0.188,0.696,-0.037,60,0,OTHER
20,120000,199514,0.135,0.556,-0.117,60,0,OTHER
21,120197,199806,0.35,0.591,-0.114,60,0,OTHER
22,120812,200868,0.304,0.786,-0.106,60,0,OTHER
23,121703,202364,0.304,0.786,-0.106,60,0,OTHER
24,120915,202699,0.304,0.786,-0.106,60,0,OTHER
25,156206,221608,-0.175,1.174,0.046,60,0,OTHER
26,188975,254374,-0.848,1.636,0.376,60,0,OTHER
27,221743,287145,-1.35,1.701,0.596,60,0,OTHER
28,254517,319921,-1.558,1.242,0.703,60,0,OTHER
29,287297,352693,-1.475,0.583,0.807,60,0,OTHER
30,320065,385465,-1.254,-0.025,0.879,60,0,OTHER
31,352837,418241,-0.934,-0.383,0.93,60,0,OTHER
32,385436,451009,-0.596,-0.505,0.862,60,0,OTHER
33,418039,483786,-0.38,-0.536,0.701,60,0,OTHER
34,414193,516562,-0.338,-0.42,0.604,60,0,OTHER
35,407543,524287,-0.583,-0.173,0.714,60,0,OTHER
36,404698,524287,-0.979,0.263,0.969,60,0,OTHER
37,401833,524287,-1.127,0.74,1.102,60,0,OTHER
38,401388,524287,-1.012,0.967,1.036,60,0,OTHER
39,400667,524287,-0.644,0.884,0.756,60,0,OTHER
40,400553,524287,-0.268,0.728,0.433,60,0,OTHER
41,400964,524287,-0.18,0.785,0.319,60,0,OTHER
42,400767,524287,-0.175,0.845,0.287,60,0,OTHER
43,400300,524287,-0.234,0.889,0.391,60,0,OTHER
44,398324,524287,-0.362,1.237,0.632,60,0,OTHER
45,400652,524287,-0.438,1.586,0.659,60,0,OTHER
46,402479,524287,-0.393,1.325,0.625,60,0,OTHER
47,403597,524287,-0.447,0.739,0.833,60,0,OTHER
48,404034,524287,-0.36,0.412,1.098,60,0,OTHER
49,403743,524287,-0.026,0.05,1.076,60,0,OTHER
50,423530,524287,0.125,-0.418,0.903,60,0,OTHER
51,422377,524287,0.017,-0.7,0.826,60,0,OTHER
52,423044,524287,-0.299,-0.728,0.783,60,0,OTHER
53,423926,524287,-0.533,-0.596,0.769,60,0,OTHER
54,423377,524287,-0.602,-0.359,0.802,60,0,OTHER
55,427515,524287,-0.608,0.207,0.889,60,0,OTHER
56,433009,524287,-0.633,0.843,0.932,60,0,OTHER
57,444969,524287,-0.611,1.16,0.925,60,0,OTHER
58,444494,524287,-0.484,1.097,0.817,60,0,OTHER
59,438428,524287,-0.379,0.819,0.52,59,98,OTHER
60,435346,524287,-0.269,0.627,0.319,59,98,OTHER
61,435100,524287,-0.289,0.593,0.382,59,98,OTHER
62,439209,524287,-0.311,0.668,0.577,59,98,OTHER
63,437345,524287,-0.308,0.708,0.706,59,98,OTHER
64,436062,524287,-0.412,0.589,0.783,59,98,OTHER
65,434357,524287,-0.436,0.473,0.877,59,98,OTHER
66,433027,524287,-0.435,0.443,0.875,59,98,OTHER
67,431472,524287,-0.457,0.453,0.801,59,98,OTHER
68,430830,524287,-0.436,0.486,0.757,59,98,OTHER
69,429929,524287,-0.415,0.52,0.75,59,97,OTHER
70,430109,524287,-0.377,0.575,0.688,59,97,OTHER
71,429738,524287,-0.319,0.663,0.625,59,97,OTHER
72,428945,524287,-0.34,0.628,0.632,59,97,OTHER
73,427915,524287,-0.388,0.581,0.68,59,97,OTHER
74,427648,524287,-0.488,0.507,0.785,59,97,OTHER
75,409600,524287,-0.557,0.428,0.874,59,97,OTHER
76,376832,524287,-0.514,0.433,0.852,59,97,OTHER
77,365896,524287,-0.465,0.437,0.718,59,97,OTHER
78,366815,524287,-0.378,0.567,0.61,59,97,OTHER
79,368143,524287,-0.342,0.651,0.604,59,96,OTHER
80,369049,524287,-0.341,0.665,0.608,59,96,OTHER
81,369187,524287,-0.338,0.627,0.631,59,96,OTHER
82,368820,524287,-0.374,0.585,0.666,59,96,OTHER
83,368798,524287,-0.463,0.51,0.746,59,96,OTHER
84,369537,524287,-0.487,0.429,0.83,59,96,OTHER
85,369933,524287,-0.491,0.452,0.841,59,96,OTHER
86,370642,524287,-0.464,0.494,0.816,59,96,OTHER
87,370849,524287,-0.368,0.514,0.76,59,96,OTHER
88,372241,524287,-0.314,0.54,0.681,59,96,OTHER
89,373573,524287,-0.263,0.667,0.599,59,94,OTHER
90,373150,524287,-0.284,0.698,0.569,59,94,OTHER
91,371272,524287,-0.331,0.599,0.605,59,94,OTHER
92,371233,524287,-0.403,0.53,0.679,59,94,OTHER
93,373283,524287,-0.581,0.409,0.849,59,94,OTHER
94,374099,524287,-0.61,0.337,0.966,59,94,OTHER
95,372260,524287,-0.516,0.386,0.876,59,94,OTHER
96,371799,524287,-0.46,0.452,0.691,59,94,OTHER
97,372804,524287,-0.381,0.552,0.57,59,94,OTHER
98,373872,524287,-0.322,0.655,0.549,59,94,OTHER
99,375071,524287,-0.283,0.685,0.563,59,93,OTHER
100,344064,507904,-0.314,0.674,0.653,59,93,OTHER
101,311296,500978,-0.395,0.562,0.627,59,93,OTHER
102,306791,501690,-0.473,0.473,0.7,59,93,OTHER
103,306987,502047,-0.464,0.488,0.881,59,93,OTHER
104,307494,503451,-0.499,0.468,0.838,59,93,OTHER
105,308261,505615,-0.513,0.489,0.786,59,93,OTHER
106,308498,506300,-0.398,0.543,0.738,59,93,OTHER
107,309866,508342,-0.314,0.585,0.628,59,93,OTHER
108,311147,509145,-0.256,0.671,0.575,59,93,OTHER
109,308671,503932,-0.259,0.692,0.585,59,93,OTHER
110,306736,499885,-0.393,0.616,0.632,59,93,OTHER
111,305900,498420,-0.479,0.516,0.708,59,93,OTHER
112,304530,496323,-0.522,0.435,0.827,59,93,OTHER
113,303939,496870,-0.57,0.378,0.891,59,93,OTHER
114,304973,499861,-0.484,0.389,0.841,59,93,OTHER
115,305807,502202,-0.403,0.495,0.768,59,93,OTHER
116,307395,505240,-0.385,0.549,0.655,59,93,OTHER
117,310241,508930,-0.361,0.593,0.584,59,93,OTHER
118,309133,508229,-0.31,0.653,0.62,59,93,OTHER
119,309265,508465,-0.369,0.56,0.656,59,93,OTHER
120,308881,507426,-0.479,0.522,0.749,59,93,OTHER
121,308246,506695,-0.523,0.564,0.919,59,93,OTHER
122,306987,506376,-0.469,0.512,0.963,59,93,OTHER
123,308758,508309,-0.452,0.487,0.825,59,93,OTHER
124,306596,505760,-0.559,0.456,0.774,59,93,OTHER
125,278528,475136,-0.359,0.353,0.66,59,93,OTHER
126,264970,442368,0.024,0.293,0.404,59,93,OTHER
127,267026,438798,-0.135,0.524,0.461,59,93,OTHER
128,264077,436171,-0.256,0.858,0.659,59,93,OTHER
129,262775,433017,-0.25,0.766,0.678,59,93,OTHER
130,262821,432626,-0.541,0.415,0.707,59,93,OTHER
131,262943,433391,-0.647,0.363,0.897,59,93,OTHER
132,262337,433322,-0.591,0.439,1.027,59,93,OTHER
133,262401,433110,-0.483,0.414,0.915,59,93,OTHER
134,262951,434252,-0.381,0.488,0.693,59,93,OTHER
135,263984,436934,-0.325,0.582,0.568,59,93,OTHER
136,264349,436323,-0.288,0.582,0.598,59,93,OTHER
137,263764,435246,-0.216,0.63,0.637,59,93,OTHER
138,264903,435978,-0.393,0.636,0.666,59,93,OTHER
139,264752,436410,-0.671,0.796,0.812,59,91,OTHER
140,264711,433739,-0.525,1.238,0.898,59,91,OTHER
141,272268,438352,-0.425,1.406,0.754,59,91,OTHER
142,277450,440877,-0.536,1.11,0.559,59,91,OTHER
143,284614,438966,-0.457,0.572,0.418,59,91,OTHER
144,287056,441196,-0.291,-0.012,0.45,59,91,OTHER
145,286513,443287,-0.214,-0.519,0.561,59,91,OTHER
146,268779,435240,-0.226,-0.792,0.635,59,91,OTHER
147,263804,433156,-0.444,-0.661,0.833,59,91,OTHER
148,263683,433925,-1.101,0.0,1.116,59,91,OTHER
149,264801,438132,-1.715,0.769,1.352,59,90,OTHER
150,260089,433272,-1.664,0.979,1.279,59,90,OTHER
151,260022,433159,-0.97,0.719,0.831,59,90,OTHER
152,258891,430275,-0.095,0.461,0.338,59,90,OTHER
153,259099,431513,0.531,0.407,0.033,59,90,OTHER
154,259768,432223,0.794,0.539,-0.084,59,90,OTHER
155,247818,420753,0.65,0.806,-0.162,59,90,OTHER
156,247015,422653,0.358,1.09,-0.265,59,90,OTHER
157,250156,429168,-0.485,1.876,0.043,59,90,OTHER
158,253395,431748,-1.562,2.843,0.652,59,90,OTHER
159,253361,427509,-1.944,2.717,0.91,59,90,OTHER
160,253508,424714,-1.576,1.624,0.812,59,90,OTHER
161,255258,425206,-0.898,0.49,0.716,59,90,OTHER
162,254349,423039,-0.485,-0.364,0.684,59,90,OTHER
163,252877,421420,-0.302,-0.977,0.666,59,90,OTHER
164,237369,409600,-0.294,-1.214,0.718,59,90,OTHER
165,231976,400726,-0.437,-1.078,0.723,59,90,OTHER
166,233538,407287,-1.262,-0.393,1.152,59,90,OTHER
167,235280,412279,-2.526,1.157,1.872,59,90,OTHER
168,234304,410553,-2.825,2.268,1.862,59,90,OTHER
169,234683,410467,-1.699,2.084,0.958,59,90,OTHER
170,237763,414453,-0.175,1.558,-0.161,59,90,OTHER
171,238609,417470,0.731,1.245,-0.785,59,90,OTHER
172,232648,412062,0.933,1.282,-0.906,59,90,OTHER
173,223731,401104,0.619,1.567,-0.804,59,90,OTHER
174,222248,400975,0.134,1.88,-0.397,59,90,OTHER
175,226309,407964,-0.868,2.65,0.439,59,90,OTHER
176,228669,407316,-2.028,3.207,1.186,59,90,OTHER
177,228792,404762,-2.132,2.488,1.321,59,90,OTHER
178,231650,405296,-1.458,1.17,1.032,59,90,OTHER
179,231006,403760,-0.852,0.153,0.771,59,89,OTHER
180,231861,403099,-0.432,-0.47,0.674,59,89,OTHER
181,229881,399875,-0.147,-0.964,0.671,59,89,OTHER
182,214904,383214,-0.034,-1.25,0.715,59,89,OTHER
183,213184,381695,-0.104,-1.181,0.77,59,89,OTHER
184,213399,386817,-0.886,-0.461,1.393,59,89,OTHER
185,212661,387105,-2.099,1.152,2.328,59,89,OTHER
186,213176,388401,-2.427,2.287,2.352,59,89,OTHER
187,212541,386544,-1.52,2.124,1.305,59,89,OTHER
188,212576,386657,-0.233,1.645,0.095,59,89,OTHER
189,218640,397223,0.606,1.341,-0.612,59,89,OTHER
190,210112,390320,0.81,1.295,-0.742,59,89,OTHER
191,206516,385479,0.671,1.407,-0.628,59,89,OTHER
192,207426,388528,0.221,1.669,-0.373,59,89,OTHER
193,211874,393554,-0.879,2.51,0.606,59,89,OTHER
194,212725,391269,-2.015,3.016,1.475,59,89,OTHER
195,213955,389968,-2.065,2.191,1.479,59,89,OTHER
196,215026,391450,-1.349,0.839,1.169,59,89,OTHER
197,213488,387995,-0.775,-0.232,0.881,59,89,OTHER
198,212615,384377,-0.445,-0.87,0.697,59,89,OTHER
199,199557,368556,-0.307,-1.109,0.647,59,88,OTHER
200,194924,363376,-0.277,-1.048,0.689,59,88,OTHER
201,195484,367135,-0.52,-0.745,0.908,59,88,OTHER
202,197558,372287,-1.438,0.386,1.737,59,88,OTHER
203,197978,371302,-2.367,1.728,2.369,59,88,OTHER
204,200289,374918,-2.177,2.037,1.861,59,88,OTHER
205,200016,372653,-1.041,1.66,0.723,59,88,OTHER
206,202712,377963,0.108,1.28,-0.298,59,88,OTHER
207,202634,380008,0.677,1.115,-0.81,59,88,OTHER
208,194471,370676,0.681,1.158,-0.787,59,88,OTHER
209,191736,365201,0.494,1.343,-0.638,60,87,OTHER
210,192491,368119,-0.144,1.788,-0.086,60,87,OTHER
211,194853,368158,-1.371,2.621,1.18,60,87,OTHER
212,194245,363859,-2.169,2.708,1.85,60,87,OTHER
213,198055,366156,-1.884,1.616,1.52,60,87,OTHER
214,196566,364489,-1.151,0.444,1.097,60,87,OTHER
215,196325,362251,-0.611,-0.402,0.782,60,87,OTHER
216,192963,358237,-0.234,-1.028,0.517,60,87,OTHER
217,183393,344064,-0.079,-1.285,0.476,60,87,OTHER
218,183632,344188,-0.117,-1.135,0.578,60,87,OTHER
219,186392,352822,-0.709,-0.674,1.14,60,87,OTHER
