Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
0,57759,57830,-0.477,-0.101,0.565,60,0,OTHER
1,90350,90571,-0.455,-0.082,0.554,60,0,OTHER
2,95459,123196,-0.5,-0.065,0.551,60,0,OTHER
3,97122,155798,-0.583,-0.05,0.602,60,0,OTHER
4,98413,172204,-0.632,-0.008,0.678,60,0,OTHER
5,100128,174144,-0.687,0.039,0.731,60,0,OTHER
6,101325,175236,-0.683,0.075,0.768,60,0,OTHER
7,102771,176637,-0.7,0.077,0.78,60,0,OTHER
8,104382,178299,-0.77,0.105,0.797,60,0,OTHER
9,105464,179488,-0.792,0.169,0.791,60,0,OTHER
10,106913,180962,-0.772,0.178,0.725,60,0,OTHER
11,107296,181171,-0.755,0.174,0.703,60,0,OTHER
12,107843,181694,-0.746,0.194,0.709,60,0,OTHER
13,108840,182590,-0.738,0.198,0.693,60,0,OTHER
14,110309,184258,-0.705,0.183,0.693,60,0,OTHER
15,110609,185164,-0.633,0.128,0.717,60,0,OTHER
16,109536,184635,-0.571,0.054,0.726,60,0,OTHER
17,108150,184269,-0.538,0.013,0.705,60,0,OTHER
18,107258,183779,-0.529,0.002,0.697,60,0,OTHER
19,106410,182793,-0.53,-0.001,0.703,60,0,OTHER
20,105941,181924,-0.536,-0.003,0.712,60,0,OTHER
21,104674,180439,-0.553,0.008,0.741,60,0,OTHER
22,103391,179105,-0.603,0.027,0.751,60,0,OTHER
23,104516,179339,-0.603,0.027,0.751,60,0,OTHER
24,106506,180516,-0.603,0.027,0.751,60,0,OTHER
25,139823,205234,-0.698,0.043,0.76,60,0,OTHER
26,172593,238006,-0.79,0.081,0.799,60,0,OTHER
27,205363,270772,-0.845,0.11,0.785,60,0,OTHER
28,238147,303548,-0.867,0.116,0.712,60,0,OTHER
29,270917,336323,-0.892,0.114,0.643,60,0,OTHER
30,303682,369091,-0.9,0.112,0.605,60,0,OTHER
31,336285,401867,-0.855,0.11,0.6,60,0,OTHER
32,368887,434637,-0.777,0.086,0.604,60,0,OTHER
33,391204,467409,-0.682,0.053,0.619,60,0,OTHER
34,395208,500187,-0.586,0.028,0.663,60,0,OTHER
35,399229,524287,-0.492,-0.005,0.716,60,0,OTHER
36,402046,524287,-0.413,-0.045,0.76,60,0,OTHER
37,405940,524287,-0.391,-0.053,0.77,60,0,OTHER
38,408654,524287,-0.496,0.001,0.741,60,0,OTHER
39,410680,524287,-0.61,0.102,0.738,60,0,OTHER
40,411518,524287,-0.671,0.17,0.737,60,0,OTHER
41,412826,524287,-0.752,0.197,0.731,60,0,OTHER
42,416156,524287,-0.773,0.22,0.713,60,0,OTHER
43,418767,524287,-0.742,0.258,0.661,60,0,OTHER
44,418551,524287,-0.747,0.282,0.565,60,0,OTHER
45,416837,524287,-0.779,0.314,0.489,60,0,OTHER
46,418001,524287,-0.768,0.388,0.48,60,0,OTHER
47,419897,524287,-0.736,0.429,0.465,60,0,OTHER
48,422557,524287,-0.678,0.475,0.515,60,0,OTHER
49,428832,524287,-0.572,0.478,0.592,60,0,OTHER
50,450798,524287,-0.552,0.493,0.592,60,0,OTHER
51,462047,524287,-0.626,0.565,0.57,60,0,OTHER
52,463535,524287,-0.681,0.557,0.535,60,0,OTHER
53,463643,524287,-0.678,0.517,0.508,60,0,OTHER
54,463677,524287,-0.685,0.489,0.513,60,0,OTHER
55,461120,524287,-0.695,0.501,0.531,60,0,OTHER
56,458771,524287,-0.683,0.525,0.555,60,0,OTHER
57,456924,524287,-0.679,0.549,0.572,60,0,OTHER
58,453095,524287,-0.638,0.578,0.569,60,0,OTHER
59,450883,524287,-0.622,0.631,0.541,59,98,OTHER
60,451759,524287,-0.649,0.677,0.555,59,98,OTHER
61,452360,524287,-0.632,0.663,0.567,59,98,OTHER
62,453718,524287,-0.605,0.631,0.564,59,98,OTHER
