Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
0,-4.233,-3.126,5.149,2047,0
1,-0.314,0.121,0.935,60,0
2,-0.309,0.118,0.942,60,0
3,-0.304,0.122,0.943,60,0
4,-0.298,0.134,0.939,60,0
5,-0.294,0.147,0.936,60,0
6,-0.291,0.148,0.93,60,0
7,-0.292,0.139,0.926,60,0
8,-0.287,0.132,0.924,60,0
9,-0.279,0.128,0.926,60,0
10,-0.275,0.125,0.928,60,0
11,-0.266,0.127,0.932,60,0
12,-0.258,0.133,0.933,60,0
13,-0.254,0.138,0.93,60,0
14,-0.252,0.137,0.927,60,0
15,-0.252,0.133,0.922,60,0
16,-0.253,0.128,0.922,60,0
17,-0.259,0.121,0.926,60,0
18,-0.265,0.114,0.931,60,0
19,-0.276,0.105,0.939,60,0
20,-0.283,0.098,0.945,60,0
21,-0.289,0.095,0.947,60,0
22,-0.295,0.093,0.95,60,0
23,-0.295,0.093,0.95,60,0
24,-0.295,0.093,0.95,60,0
25,-0.298,0.093,0.95,60,0
26,-0.303,0.097,0.946,60,0
27,-0.308,0.101,0.942,60,0
28,-0.31,0.106,0.939,60,0
29,-0.309,0.109,0.935,60,0
30,-0.308,0.107,0.933,60,0
31,-0.306,0.104,0.93,60,0
32,-0.306,0.104,0.929,60,0
33,-0.309,0.105,0.931,60,0
34,-0.309,0.103,0.935,60,0
35,-0.307,0.098,0.939,60,0
36,-0.303,0.091,0.941,60,0
37,-0.299,0.083,0.94,60,0
38,-0.291,0.077,0.941,60,0
39,-0.285,0.08,0.94,60,0
40,-0.286,0.089,0.945,60,0
41,-0.276,0.104,0.957,60,0
42,-0.261,0.121,0.969,60,0
43,-0.246,0.13,0.975,60,0
44,-0.234,0.129,0.969,60,0
45,-0.234,0.125,0.958,60,0
46,-0.223,0.119,0.95,60,0
47,-0.21,0.115,0.949,60,0
48,-0.207,0.112,0.954,60,0
49,-0.206,0.106,0.964,60,0
50,-0.207,0.1,0.969,60,0
51,-0.206,0.097,0.971,60,0
52,-0.203,0.092,0.97,60,0
53,-0.206,0.088,0.969,60,0
54,-0.206,0.086,0.969,60,0
55,-0.199,0.083,0.965,60,0
56,-0.199,0.08,0.96,60,0
57,-0.196,0.076,0.955,60,0
58,-0.186,0.072,0.944,60,0
59,-0.182,0.068,0.933,60,0
60,-0.179,0.06,0.927,59,0
61,-0.181,0.053,0.926,59,0
62,-0.191,0.057,0.942,59,0
63,-0.203,0.071,0.965,59,0
64,-0.213,0.082,0.978,59,0
65,-0.217,0.085,0.982,59,0
66,-0.212,0.08,0.981,59,0
67,-0.205,0.069,0.977,59,0
68,-0.202,0.058,0.969,59,0
69,-0.198,0.056,0.964,59,0
70,-0.197,0.058,0.96,59,0
71,-0.203,0.055,0.958,59,0
72,-0.209,0.051,0.959,59,0
73,-0.213,0.048,0.962,59,0
74,-0.216,0.042,0.957,59,0
75,-0.189,0.027,0.898,59,0
76,-0.172,0.025,0.864,59,0
77,-0.179,0.031,0.866,59,0
78,-0.21,0.06,0.924,59,0
79,-0.237,0.107,0.997,59,0
80,-0.221,0.147,1.02,59,0
81,-0.201,0.172,0.992,59,0
82,-0.224,0.207,0.99,59,0
83,-0.229,0.254,1.031,59,0
84,-0.189,0.28,1.04,59,0
85,-0.159,0.277,1.003,59,0
86,-0.156,0.26,0.973,59,0
87,-0.15,0.235,0.962,59,0
88,-0.142,0.213,0.95,59,0
89,-0.143,0.201,0.939,59,0
90,-0.13,0.189,0.933,59,0
91,-0.121,0.176,0.928,59,0
92,-0.132,0.159,0.938,59,0
93,-0.136,0.14,0.959,59,0
94,-0.132,0.126,0.975,59,0
95,-0.135,0.118,0.98,59,0
96,-0.13,0.115,0.98,59,0
97,-0.123,0.115,0.978,59,0
98,-0.122,0.116,0.972,59,0
99,-0.121,0.115,0.964,59,0
100,-0.117,0.106,0.957,59,0
101,-0.112,0.09,0.951,59,0
102,-0.108,0.077,0.952,59,0
103,-0.11,0.073,0.963,59,0
104,-0.113,0.071,0.97,59,0
105,-0.115,0.068,0.973,59,0
106,-0.115,0.064,0.975,59,0
107,-0.107,0.061,0.964,59,0
108,-0.102,0.061,0.954,59,0
109,-0.109,0.068,0.965,59,0
110,-0.115,0.071,0.978,59,0
111,-0.114,0.066,0.98,59,0
112,-0.113,0.058,0.98,59,0
113,-0.104,0.057,0.974,59,0
114,-0.099,0.069,0.97,59,0
115,-0.107,0.079,0.978,59,0
116,-0.108,0.084,0.983,59,0
117,-0.1,0.089,0.979,59,0
118,-0.094,0.089,0.977,59,0
119,-0.083,0.084,0.975,59,0
120,-0.074,0.083,0.973,59,0
121,-0.076,0.085,0.975,59,0
122,-0.079,0.087,0.979,59,0
123,-0.082,0.086,0.98,59,0
124,-0.081,0.083,0.98,59,0
125,-0.08,0.082,0.979,59,0
126,-0.079,0.081,0.976,59,0
127,-0.075,0.082,0.975,59,0
128,-0.073,0.083,0.976,59,0
129,-0.072,0.086,0.976,59,0
130,-0.07,0.091,0.976,60,0
131,-0.073,0.096,0.973,60,0
132,-0.078,0.099,0.971,60,0
133,-0.08,0.097,0.971,60,0
134,-0.085,0.094,0.975,60,0
135,-0.086,0.09,0.98,60,0
136,-0.081,0.089,0.983,60,0
137,-0.076,0.087,0.983,60,0
138,-0.071,0.084,0.978,60,0
139,-0.067,0.082,0.959,60,0
140,-0.054,0.074,0.914,60,0
141,-0.024,0.055,0.832,60,0
142,0.012,0.045,0.718,60,0
143,0.026,0.079,0.639,60,0
144,-0.009,0.173,0.646,60,0
145,-0.042,0.309,0.677,60,0
146,-0.12,0.505,0.733,60,0
147,-0.283,0.736,0.822,60,0
148,-0.351,0.867,0.839,60,0
149,-0.294,0.869,0.789,60,0
150,-0.274,0.824,0.711,60,0
151,-0.304,0.794,0.615,60,0
152,-0.32,0.808,0.536,60,0
153,-0.317,0.867,0.481,60,0
154,-0.312,0.937,0.44,60,0
155,-0.306,0.986,0.409,60,0
156,-0.293,1.009,0.383,60,0
157,-0.278,1.01,0.351,60,0
158,-0.273,0.998,0.322,60,0
159,-0.284,0.982,0.294,60,0
160,-0.308,0.963,0.271,61,0
161,-0.329,0.944,0.263,61,0
162,-0.33,0.934,0.274,61,0
163,-0.312,0.931,0.286,61,0
164,-0.302,0.936,0.284,61,0
165,-0.307,0.947,0.28,61,0
166,-0.309,0.959,0.274,61,0
167,-0.302,0.965,0.266,61,0
168,-0.293,0.962,0.257,61,0
169,-0.287,0.955,0.246,61,0
170,-0.289,0.948,0.234,61,0
171,-0.303,0.935,0.209,61,0
172,-0.341,0.924,0.175,61,0
173,-0.338,0.934,0.176,61,0
174,-0.263,0.944,0.19,61,0
175,-0.184,0.959,0.223,61,0
176,-0.074,0.975,0.279,61,0
177,0.007,0.968,0.312,61,0
178,0.002,0.955,0.313,61,0
179,-0.011,0.937,0.288,61,0
180,-0.039,0.918,0.257,62,0
181,-0.097,0.909,0.219,62,0
182,-0.161,0.921,0.192,62,0
183,-0.224,0.948,0.155,62,0
184,-0.308,0.972,0.113,62,0
185,-0.397,0.988,0.111,62,0
186,-0.487,1.007,0.115,62,0
187,-0.436,1.079,0.142,62,0
188,-0.144,1.101,0.181,62,0
189,0.127,1.019,0.223,62,0
190,0.163,0.941,0.268,63,0
191,0.032,0.87,0.245,63,0
192,-0.112,0.839,0.181,63,0
193,-0.212,0.888,0.128,63,0
194,-0.285,0.969,0.1,63,0
195,-0.295,1.038,0.102,63,0
196,-0.26,1.073,0.103,63,0
197,-0.327,1.052,0.038,63,0
198,-0.473,1.009,-0.014,63,0
199,-0.475,1,-0.008,63,0
200,-0.272,1.004,0.029,63,0
201,-0.023,0.972,0.109,63,0
202,0.086,0.938,0.184,63,0
203,0.04,0.939,0.222,63,0
204,-0.038,0.947,0.233,63,0
205,-0.114,0.947,0.212,63,0
206,-0.206,0.951,0.179,63,0
207,-0.307,0.966,0.154,63,0
208,-0.388,0.984,0.148,63,0
209,-0.411,1.004,0.161,63,0
210,-0.38,1.017,0.168,64,0
211,-0.329,1.008,0.164,64,0
212,-0.291,0.984,0.145,64,0
213,-0.27,0.965,0.135,64,0
214,-0.239,0.95,0.14,64,0
215,-0.19,0.938,0.16,64,0
216,-0.162,0.934,0.189,64,0
217,-0.183,0.937,0.2,64,0
218,-0.227,0.944,0.188,64,0
219,-0.265,0.952,0.171,64,0
220,-0.285,0.957,0.162,64,0
221,-0.292,0.963,0.163,64,0
222,-0.294,0.973,0.169,64,0
223,-0.293,0.981,0.169,64,0
224,-0.29,0.987,0.163,64,0
225,-0.279,0.99,0.159,64,0
226,-0.254,0.99,0.158,64,0
227,-0.243,0.987,0.148,64,0
228,-0.257,0.978,0.134,64,0
229,-0.274,0.971,0.129,64,0
230,-0.291,0.977,0.126,65,0
231,-0.302,0.986,0.126,65,0
232,-0.303,0.992,0.131,65,0
233,-0.295,0.989,0.147,65,0
234,-0.277,0.955,0.17,65,0
235,-0.249,0.91,0.192,65,0
236,-0.197,0.908,0.223,65,0
237,-0.152,0.93,0.247,65,0
238,-0.16,0.936,0.24,65,0
239,-0.192,0.927,0.226,65,0
240,-0.206,0.917,0.217,65,0
241,-0.195,0.925,0.224,65,0
242,-0.167,0.955,0.263,65,0
243,-0.152,0.983,0.318,65,0
244,-0.176,0.99,0.358,65,0
245,-0.216,0.966,0.358,65,0
246,-0.235,0.92,0.328,65,0
247,-0.234,0.887,0.291,65,0
248,-0.234,0.88,0.255,65,0
249,-0.24,0.899,0.243,65,0
250,-0.239,0.932,0.248,66,0
251,-0.236,0.959,0.253,66,0
252,-0.234,0.969,0.258,66,0
253,-0.223,0.956,0.258,66,0
254,-0.209,0.933,0.249,66,0
255,-0.204,0.928,0.235,66,0
256,-0.204,0.944,0.228,66,0
257,-0.208,0.964,0.232,66,0
258,-0.209,0.973,0.249,66,0
259,-0.202,0.966,0.265,66,0
260,-0.197,0.958,0.269,66,0
261,-0.197,0.962,0.272,66,0
262,-0.194,0.97,0.281,66,0
263,-0.186,0.973,0.288,66,0
264,-0.184,0.968,0.287,66,0
265,-0.196,0.961,0.276,66,0
266,-0.211,0.956,0.265,66,0
