Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
-0.662,-0.313,0.63,60,0
-0.677,-0.31,0.642,60,0
-0.677,-0.307,0.664,60,0
-0.656,-0.315,0.681,60,0
-0.655,-0.32,0.677,60,0
-0.673,-0.312,0.66,60,0
-0.687,-0.304,0.654,60,0
-0.678,-0.305,0.651,60,0
-0.674,-0.305,0.652,60,0
-0.666,-0.301,0.651,60,0
-0.658,-0.31,0.635,60,0
-0.682,-0.315,0.62,60,0
-0.691,-0.313,0.598,60,0
-0.698,-0.312,0.576,60,0
-0.751,-0.31,0.575,60,0
-0.759,-0.312,0.564,60,0
-0.768,-0.294,0.565,60,0
-0.798,-0.268,0.573,60,0
-0.775,-0.271,0.544,60,0
-0.774,-0.285,0.513,60,0
-0.776,-0.276,0.486,60,0
-0.813,-0.258,0.454,60,0
-0.84,-0.258,0.47,60,0
-0.84,-0.258,0.47,60,0
-0.84,-0.258,0.47,60,0
-0.826,-0.283,0.508,60,0
-0.868,-0.295,0.468,60,0
-0.882,-0.278,0.422,60,0
-0.842,-0.282,0.439,60,0
-0.847,-0.285,0.437,60,0
-0.844,-0.283,0.444,60,0
-0.823,-0.286,0.469,60,0
-0.81,-0.265,0.446,60,0
-0.791,-0.249,0.428,60,0
-0.82,-0.259,0.448,60,0
-0.858,-0.277,0.464,60,0
-0.846,-0.277,0.448,60,0
-0.807,-0.275,0.421,60,0
-0.792,-0.303,0.403,60,0
-0.771,-0.319,0.355,60,0
-0.703,-0.318,0.322,60,0
-0.571,-0.305,0.281,60,0
-0.593,-0.343,0.21,60,0
-0.757,-0.444,0.182,60,0
-0.834,-0.537,0.205,60,0
-0.866,-0.62,0.233,60,0
-0.891,-0.696,0.211,60,0
-0.916,-0.753,0.186,60,0
-0.914,-0.766,0.173,60,0
-0.883,-0.756,0.127,60,0
-0.859,-0.749,0.101,60,0
-0.821,-0.74,0.104,60,0
-0.763,-0.718,0.089,60,0
-0.72,-0.697,0.085,60,0
-0.683,-0.678,0.086,60,0
-0.686,-0.666,0.072,60,0
-0.678,-0.666,0.083,60,0
-0.669,-0.666,0.093,60,0
-0.692,-0.681,0.093,60,0
-0.7,-0.715,0.109,59,0
-0.733,-0.722,0.09,59,0
-0.697,-0.714,0.085,59,0
-0.598,-0.723,0.113,59,0
-0.565,-0.702,0.066,59,0
-0.674,-0.662,-0.043,59,0
-0.672,-0.637,-0.078,59,0
-0.539,-0.647,-0.056,59,0
-0.543,-0.691,-0.081,59,0
-0.562,-0.755,-0.114,59,0
-0.51,-0.819,-0.093,59,0
-0.453,-0.875,-0.041,59,0
-0.47,-0.948,-0.003,59,0
-0.503,-0.989,-0.021,59,0
-0.473,-0.989,-0.066,59,0
-0.399,-0.978,-0.094,59,0
-0.35,-0.961,-0.105,59,0
-0.358,-0.965,-0.089,59,0
-0.371,-0.977,-0.078,59,0
-0.377,-0.968,-0.093,59,0
-0.397,-0.968,-0.09,59,0
-0.378,-0.971,-0.059,59,0
-0.327,-0.96,-0.043,59,0
-0.29,-0.94,-0.049,59,0
-0.267,-0.917,-0.051,59,0
-0.273,-0.911,-0.047,59,0
-0.315,-0.922,-0.038,59,0
-0.367,-0.93,-0.033,59,0
