Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
0,-0.297,-0.953,0.199,60,1
1,-0.297,-0.934,0.197,60,1
2,-0.294,-0.91,0.183,60,1
3,-0.275,-0.933,0.143,60,1
4,-0.255,-1.055,0.089,60,1
5,-0.249,-1.176,0.02,60,1
6,-0.246,-1.194,-0.039,60,1
7,-0.229,-1.15,-0.052,60,1
8,-0.201,-1.084,-0.047,60,1
9,-0.185,-1.006,-0.047,60,1
10,-0.184,-0.931,-0.041,60,1
11,-0.188,-0.877,-0.028,60,1
12,-0.19,-0.839,-0.017,60,1
13,-0.193,-0.817,-0.012,60,1
14,-0.204,-0.796,-0.001,60,1
15,-0.222,-0.791,0.013,60,1
16,-0.242,-0.835,0.027,60,1
17,-0.252,-0.907,0.036,60,1
18,-0.248,-0.98,0.038,60,1
19,-0.243,-1.053,0.038,60,1
20,-0.242,-1.145,0.031,60,1
21,-0.248,-1.208,0.027,60,1
22,-0.262,-1.144,0.061,60,1
23,-0.262,-1.144,0.061,60,1
24,-0.262,-1.144,0.061,60,1
25,-0.261,-1.026,0.102,60,1
26,-0.227,-0.977,0.097,60,1
27,-0.18,-0.979,0.07,60,1
28,-0.161,-0.959,0.059,60,1
29,-0.167,-0.925,0.075,60,1
30,-0.163,-0.903,0.093,60,1
31,-0.145,-0.889,0.103,60,1
32,-0.139,-0.896,0.114,60,1
33,-0.166,-0.901,0.127,60,1
34,-0.207,-0.878,0.154,60,1
35,-0.24,-0.875,0.187,60,1
36,-0.302,-0.917,0.203,60,1
37,-0.387,-0.977,0.224,60,1
38,-0.439,-1.027,0.268,60,1
39,-0.45,-1.06,0.301,60,1
40,-0.45,-1.08,0.282,60,1
41,-0.452,-1.051,0.207,60,1
42,-0.438,-0.98,0.137,60,1
43,-0.41,-0.931,0.1,60,1
44,-0.39,-0.908,0.063,60,1
45,-0.393,-0.886,0.029,60,1
46,-0.406,-0.847,0.01,60,1
47,-0.427,-0.799,0.024,60,1
