Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
0,-1.173,0.272,0.4,60,1
1,-1.109,0.256,0.423,60,1
2,-0.932,0.223,0.483,60,1
3,-0.751,0.183,0.52,60,1
4,-0.635,0.152,0.506,60,1
5,-0.563,0.174,0.454,60,1
6,-0.626,0.254,0.327,60,1
7,-0.758,0.338,0.185,60,1
8,-0.834,0.4,0.113,60,1
9,-0.873,0.44,0.101,60,1
10,-0.902,0.429,0.08,60,1
11,-1,0.383,0.035,60,1
12,-1.14,0.373,0.043,60,1
13,-1.166,0.373,0.102,60,1
14,-1.057,0.332,0.169,60,1
15,-0.976,0.287,0.201,60,1
16,-0.949,0.252,0.187,60,1
17,-0.881,0.199,0.147,60,1
18,-0.828,0.137,0.123,60,1
19,-0.852,0.099,0.12,60,1
20,-0.872,0.096,0.136,60,1
21,-0.879,0.125,0.172,60,1
22,-0.893,0.147,0.2,60,1
23,-0.893,0.147,0.2,60,1
24,-0.893,0.147,0.2,60,1
25,-0.895,0.145,0.209,60,1
26,-0.927,0.156,0.188,60,1
27,-1.017,0.191,0.155,60,1
28,-1.105,0.237,0.16,60,1
29,-1.189,0.28,0.184,60,1
30,-1.193,0.321,0.206,60,1
31,-1.073,0.342,0.243,60,1
32,-1.006,0.329,0.25,60,1
33,-0.994,0.295,0.196,60,1
34,-0.975,0.253,0.107,60,1
35,-0.915,0.226,0.05,60,1
36,-0.828,0.209,0.038,60,1
37,-0.793,0.185,0.031,60,1
38,-0.817,0.164,0.021,60,1
39,-0.859,0.141,0.022,60,1
40,-0.905,0.118,0.019,60,1
41,-0.995,0.116,-0.002,60,1
42,-1.079,0.15,-0.002,60,1
43,-1.079,0.217,0.049,60,1
44,-1.08,0.291,0.104,60,1
45,-1.131,0.359,0.141,60,1
46,-1.079,0.376,0.182,60,1
47,-0.953,0.337,0.203,60,1
48,-0.879,0.319,0.255,60,1
49,-0.814,0.317,0.356,60,1
50,-0.788,0.292,0.412,60,1
51,-0.695,0.26,0.43,60,1
52,-0.581,0.225,0.455,60,1
53,-0.623,0.181,0.504,60,1
54,-0.627,0.178,0.6,60,1
55,-0.595,0.204,0.679,60,1
56,-0.607,0.217,0.704,60,1
57,-0.607,0.232,0.721,60,1
58,-0.705,0.267,0.737,60,1
59,-0.867,0.319,0.751,59,1
60,-0.945,0.395,0.763,59,1
61,-0.902,0.46,0.731,59,1
62,-0.775,0.468,0.642,59,1
63,-0.643,0.466,0.562,59,1
64,-0.568,0.457,0.511,59,1
65,-0.569,0.396,0.482,59,1
66,-0.639,0.295,0.478,59,1
67,-0.733,0.21,0.484,59,1
68,-0.776,0.17,0.506,59,1
69,-0.771,0.173,0.536,59,1
70,-0.764,0.211,0.546,59,1
71,-0.763,0.28,0.539,59,1
72,-0.763,0.386,0.537,59,1
73,-0.75,0.508,0.531,59,1
74,-0.747,0.63,0.515,59,1
75,-0.787,0.752,0.502,59,1
76,-0.784,0.813,0.486,59,1
77,-0.68,0.784,0.461,59,1
78,-0.59,0.733,0.433,59,1
79,-0.565,0.693,0.409,59,1
80,-0.554,0.649,0.404,59,1
81,-0.551,0.614,0.428,59,1
82,-0.554,0.587,0.463,59,1
