Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
0,57591,57825,-0.537,0.464,0.668,60,0,OTHER
1,71109,90389,-0.554,0.479,0.666,60,0,OTHER
2,71200,123026,-0.58,0.472,0.653,60,0,OTHER
3,71136,131037,-0.574,0.458,0.654,60,0,OTHER
4,71101,130585,-0.56,0.449,0.68,60,0,OTHER
5,71553,130712,-0.577,0.433,0.685,60,0,OTHER
6,71657,129281,-0.593,0.447,0.661,60,0,OTHER
7,72217,129488,-0.613,0.442,0.654,60,0,OTHER
8,72646,129558,-0.626,0.419,0.673,60,0,OTHER
9,73101,129451,-0.629,0.42,0.672,60,0,OTHER
10,73705,130204,-0.623,0.431,0.656,60,0,OTHER
11,73897,130283,-0.611,0.443,0.649,60,0,OTHER
12,74282,131028,-0.611,0.458,0.637,60,0,OTHER
13,74688,131331,-0.594,0.468,0.652,60,0,OTHER
14,74920,131300,-0.583,0.474,0.66,60,0,OTHER
15,75208,131083,-0.609,0.492,0.608,60,0,OTHER
16,75378,131817,-0.612,0.517,0.57,60,0,OTHER
17,75776,132940,-0.582,0.515,0.584,60,0,OTHER
18,76108,133941,-0.573,0.513,0.596,60,0,OTHER
19,76283,134598,-0.578,0.522,0.592,60,0,OTHER
20,76445,135061,-0.591,0.537,0.593,60,0,OTHER
21,76593,135807,-0.635,0.495,0.582,60,0,OTHER
22,76768,136747,-0.639,0.449,0.628,60,0,OTHER
23,77553,139439,-0.639,0.449,0.628,60,0,OTHER
24,78473,141292,-0.639,0.449,0.628,60,0,OTHER
25,107062,172476,-0.598,0.485,0.669,60,0,OTHER
26,139843,205254,-0.599,0.524,0.63,60,0,OTHER
27,172612,238023,-0.553,0.537,0.626,60,0,OTHER
28,205381,270791,-0.538,0.539,0.638,60,0,OTHER
29,237983,303569,-0.586,0.549,0.618,60,0,OTHER
30,268107,336347,-0.542,0.584,0.613,60,0,OTHER
31,268461,369119,-0.481,0.608,0.62,60,0,OTHER
32,268934,401889,-0.474,0.613,0.611,60,0,OTHER
33,269076,434320,-0.457,0.625,0.605,60,0,OTHER
34,267671,455977,-0.444,0.635,0.6,60,0,OTHER
35,268022,456904,-0.472,0.636,0.586,60,0,OTHER
36,267684,457214,-0.472,0.625,0.603,60,0,OTHER
37,266904,456853,-0.453,0.607,0.636,60,0,OTHER
38,267777,459739,-0.468,0.6,0.641,60,0,OTHER
39,267533,467171,-0.468,0.598,0.635,60,0,OTHER
40,266549,469632,-0.476,0.584,0.624,60,0,OTHER
41,265608,470161,-0.508,0.57,0.629,60,0,OTHER
42,264804,469365,-0.54,0.544,0.655,60,0,OTHER
43,264847,466529,-0.567,0.532,0.649,60,0,OTHER
44,265193,465899,-0.583,0.539,0.624,60,0,OTHER
45,266720,468594,-0.601,0.522,0.614,60,0,REST
46,267951,470699,-0.588,0.522,0.605,60,0,REST
47,269161,470451,-0.574,0.55,0.591,60,0,REST
48,270057,468953,-0.576,0.565,0.57,60,0,REST
49,271147,469815,-0.574,0.586,0.547,60,0,REST
50,290645,499856,-0.56,0.604,0.54,60,0,REST
51,290967,505809,-0.549,0.611,0.538,60,0,REST
52,289628,507119,-0.535,0.631,0.528,60,0,REST
53,287181,502570,-0.53,0.646,0.511,60,0,REST
54,285987,501933,-0.541,0.632,0.522,60,0,REST
55,283166,497058,-0.568,0.612,0.525,60,0,REST
56,282398,498822,-0.581,0.604,0.526,60,0,REST
57,281692,506380,-0.593,0.592,0.538,60,0,REST
58,282282,506988,-0.632,0.549,0.532,60,0,REST
59,286861,516350,-0.627,0.536,0.58,59,98,REST
60,288482,518989,-0.597,0.556,0.62,59,98,REST
61,289887,520528,-0.602,0.56,0.589,59,98,REST
62,291622,521492,-0.584,0.567,0.593,59,98,REST
63,292499,519860,-0.529,0.588,0.614,59,98,REST
64,288910,512928,-0.51,0.613,0.594,59,98,REST
65,285852,505049,-0.522,0.621,0.574,59,98,REST
66,282310,495718,-0.52,0.627,0.584,59,98,REST
67,280686,490679,-0.496,0.637,0.593,59,98,REST
68,280409,487743,-0.466,0.638,0.579,59,98,REST
69,279633,486725,-0.458,0.643,0.577,59,97,REST
70,278299,485027,-0.457,0.662,0.569,59,97,REST
71,279335,491612,-0.457,0.664,0.559,59,97,REST
72,278391,496391,-0.471,0.645,0.575,59,97,REST
73,276918,496789,-0.493,0.63,0.564,59,97,REST
74,277313,500189,-0.502,0.61,0.593,59,97,REST
75,276393,505984,-0.503,0.59,0.644,59,97,REST
76,274434,499237,-0.521,0.572,0.616,59,97,REST
77,275295,499079,-0.565,0.56,0.593,59,97,REST
78,275551,497217,-0.597,0.554,0.616,59,97,REST
79,274623,493163,-0.596,0.541,0.62,59,96,REST
80,275207,494465,-0.601,0.55,0.581,59,96,REST
81,275611,495065,-0.603,0.571,0.55,59,96,REST
82,275322,491927,-0.609,0.57,0.551,59,96,REST
83,274189,487313,-0.609,0.558,0.56,59,96,REST
84,273542,483212,-0.585,0.579,0.562,59,96,REST
85,272946,480154,-0.56,0.609,0.555,59,96,REST
86,272713,479494,-0.54,0.62,0.53,59,96,REST
87,272163,481057,-0.526,0.629,0.509,59,96,REST
88,271446,485582,-0.534,0.636,0.505,59,96,REST
89,271065,487237,-0.545,0.623,0.5,59,95,REST
90,270122,486422,-0.583,0.593,0.531,59,95,REST
91,269776,488704,-0.615,0.564,0.566,59,95,REST
92,270042,495063,-0.618,0.553,0.561,59,95,REST
93,270061,497802,-0.603,0.549,0.565,59,95,REST
94,271398,497484,-0.622,0.523,0.554,59,95,REST
95,274893,501561,-0.637,0.509,0.595,59,95,REST
96,274607,498803,-0.596,0.544,0.643,59,95,REST
97,275890,498220,-0.578,0.564,0.613,59,95,REST
98,276989,496462,-0.57,0.565,0.605,59,95,REST
99,273330,489399,-0.541,0.586,0.606,59,94,REST
100,269394,481695,-0.511,0.614,0.595,59,94,REST
101,267664,475342,-0.5,0.635,0.574,59,94,REST
102,267332,472206,-0.486,0.644,0.573,59,94,REST
103,266167,467913,-0.439,0.656,0.599,59,94,REST
104,265118,466584,-0.411,0.673,0.594,59,94,REST
105,264945,468539,-0.428,0.685,0.56,59,94,REST
106,265192,471697,-0.431,0.679,0.552,59,94,REST
107,264080,471735,-0.428,0.674,0.575,59,94,REST
108,262815,471267,-0.451,0.664,0.581,59,94,REST
109,263856,478832,-0.477,0.632,0.593,59,93,REST
110,261237,475781,-0.484,0.609,0.622,59,93,REST
111,260425,475175,-0.495,0.621,0.596,59,93,REST
112,259533,473766,-0.51,0.611,0.604,59,93,REST
113,260477,473632,-0.538,0.586,0.615,59,93,REST
114,260197,471153,-0.579,0.583,0.592,59,93,REST
115,260749,470928,-0.597,0.578,0.594,59,93,REST
116,261233,472827,-0.587,0.579,0.584,59,93,REST
117,261771,472506,-0.563,0.592,0.555,59,93,REST
118,261550,469126,-0.562,0.612,0.533,59,93,REST
119,261227,465265,-0.569,0.621,0.545,59,93,REST
120,261155,462594,-0.546,0.625,0.558,59,93,REST
121,260262,460928,-0.509,0.645,0.551,59,93,REST
122,258673,459822,-0.472,0.68,0.529,59,93,REST
123,258207,461022,-0.451,0.712,0.497,59,93,REST
124,257989,463545,-0.458,0.712,0.496,59,93,REST
125,257707,464966,-0.487,0.678,0.512,59,93,REST
126,257122,467880,-0.541,0.647,0.509,59,93,REST
127,258070,469672,-0.57,0.625,0.525,59,93,REST
128,259770,478458,-0.569,0.612,0.547,59,93,REST
129,259441,477256,-0.554,0.613,0.549,59,89,REST
130,262093,479620,-0.588,0.603,0.549,59,89,REST
131,262884,482024,-0.608,0.589,0.575,59,89,REST
132,264470,482749,-0.541,0.613,0.594,59,89,REST
133,265716,483042,-0.498,0.637,0.592,59,89,REST
134,265771,480547,-0.493,0.635,0.596,59,89,REST
135,262744,475006,-0.481,0.652,0.587,59,89,REST
136,261619,473268,-0.467,0.684,0.564,59,89,REST
137,259787,470692,-0.455,0.699,0.55,59,89,REST
138,258603,467747,-0.422,0.703,0.552,59,89,REST
139,256942,464726,-0.401,0.707,0.566,60,88,REST
140,255425,463035,-0.397,0.71,0.574,60,88,REST
141,252940,460209,-0.386,0.719,0.564,60,88,REST
142,251488,457495,-0.385,0.721,0.561,60,88,REST
143,250623,456922,-0.412,0.701,0.572,60,88,REST
144,249288,457238,-0.438,0.669,0.592,60,88,REST
145,249173,461077,-0.451,0.652,0.596,60,88,REST
146,248343,461610,-0.453,0.64,0.601,60,88,REST
147,245367,462752,-0.446,0.621,0.628,60,88,REST
148,247478,465320,-0.463,0.624,0.643,60,88,REST
149,246290,462990,-0.471,0.597,0.648,60,87,REST
150,246763,461105,-0.485,0.578,0.635,60,87,REST
151,247887,460787,-0.55,0.586,0.626,60,87,REST
152,248653,460814,-0.571,0.562,0.649,60,87,REST
153,249495,461199,-0.556,0.554,0.637,60,87,REST
154,249713,459800,-0.547,0.574,0.595,60,87,REST
155,249866,458601,-0.536,0.598,0.581,60,87,REST
156,249145,456278,-0.538,0.617,0.578,60,87,REST
157,248525,453658,-0.535,0.628,0.565,60,87,REST
158,248444,454259,-0.512,0.638,0.559,60,87,REST
159,245845,452952,-0.486,0.66,0.55,61,86,REST
160,242515,447674,-0.472,0.688,0.513,61,86,REST
161,241979,448768,-0.45,0.719,0.489,61,86,REST
162,241974,451472,-0.469,0.708,0.525,61,86,REST
163,242658,453978,-0.513,0.664,0.524,61,86,REST
164,245765,462967,-0.536,0.629,0.522,61,86,REST
165,246129,463856,-0.544,0.62,0.557,61,86,REST
166,248141,463102,-0.542,0.624,0.54,61,86,REST
167,250151,464702,-0.592,0.609,0.535,61,86,REST
168,250626,464214,-0.605,0.611,0.574,61,86,REST
169,252270,463719,-0.514,0.633,0.591,61,86,REST
170,249335,459837,-0.473,0.651,0.594,61,86,REST
171,243080,448824,-0.479,0.679,0.576,61,86,REST
172,242754,445757,-0.468,0.712,0.519,61,86,REST
173,240820,440136,-0.465,0.723,0.505,61,86,REST
174,240559,436270,-0.456,0.726,0.538,61,86,REST
175,240491,435223,-0.413,0.731,0.545,61,86,REST
176,239845,435246,-0.387,0.734,0.529,61,86,REST
177,240014,439293,-0.392,0.741,0.515,61,86,REST
178,238880,439258,-0.393,0.745,0.503,61,86,REST
179,238371,442384,-0.409,0.733,0.512,62,85,REST
180,239002,444765,-0.455,0.698,0.535,62,85,REST
181,236839,442019,-0.498,0.651,0.553,62,85,REST
182,234792,439526,-0.497,0.636,0.578,62,85,REST
183,234378,439124,-0.506,0.643,0.59,62,85,REST
184,235274,440505,-0.554,0.612,0.6,62,85,REST
185,236143,440413,-0.554,0.59,0.609,62,85,REST
186,236954,440267,-0.555,0.597,0.59,62,85,REST
187,237494,440564,-0.578,0.593,0.574,62,85,REST
188,236532,437351,-0.578,0.595,0.568,62,85,REST
189,236174,432941,-0.559,0.623,0.54,62,85,REST
190,236361,427688,-0.539,0.653,0.533,62,85,REST
191,236760,424367,-0.528,0.649,0.572,62,85,REST
192,236860,423697,-0.519,0.649,0.567,62,85,REST
193,236066,423503,-0.506,0.681,0.506,62,85,REST
194,234926,422792,-0.477,0.714,0.456,62,85,REST
195,233458,423131,-0.465,0.732,0.442,62,85,REST
