Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
0,57907,57805,-0.87,0.093,-0.591,60,0,OTHER
1,90512,90569,-0.84,0.073,-0.549,60,0,OTHER
2,84407,123021,-0.786,0.048,-0.449,60,0,OTHER
3,118325,156119,-0.761,0.02,-0.311,60,0,OTHER
4,156224,188869,-0.628,-0.02,-0.208,60,0,OTHER
5,185157,163840,-0.173,0.033,-0.1,60,0,OTHER
6,221740,188827,0.409,0.426,0.044,60,0,OTHER
7,254493,221587,0.223,1.168,-0.238,60,0,OTHER
8,287275,254423,-0.348,1.761,-0.717,60,0,OTHER
9,320035,287138,-0.507,1.705,-0.646,60,0,OTHER
10,352809,319915,-0.426,1.407,-0.334,60,0,OTHER
11,385573,352673,-0.282,1.306,-0.244,60,0,OTHER
12,418365,385467,-0.309,1.245,-0.315,60,0,OTHER
13,451116,418244,-0.407,1.191,-0.373,60,0,OTHER
14,483903,414682,-0.43,1.158,-0.346,60,0,OTHER
15,516669,423003,-0.402,1.14,-0.292,60,0,OTHER
16,524287,427549,-0.385,1.128,-0.258,60,0,OTHER
17,524287,395469,-0.375,1.116,-0.246,60,0,OTHER
18,520354,376832,-0.383,1.082,-0.21,60,0,OTHER
19,507904,344064,-0.395,1.033,-0.169,60,0,OTHER
20,475136,311296,-0.398,0.994,-0.138,60,0,OTHER
21,442368,278528,-0.384,0.976,-0.115,60,0,OTHER
22,409600,245760,-0.358,1.004,-0.124,60,0,OTHER
23,376832,212992,-0.358,1.004,-0.124,60,0,OTHER
24,378239,180224,-0.358,1.004,-0.124,60,0,OTHER
25,401887,205200,-0.34,1.07,-0.143,60,0,OTHER
26,434664,237983,-0.317,1.101,-0.146,60,0,OTHER
27,467429,270737,-0.306,1.095,-0.122,60,0,OTHER
28,500204,303519,-0.292,1.107,-0.105,60,0,OTHER
29,524287,336279,-0.245,1.12,-0.12,60,0,OTHER
30,524287,369044,-0.185,1.111,-0.14,60,0,OTHER
31,524287,401803,-0.149,1.103,-0.142,60,0,OTHER
32,524287,434591,-0.128,1.083,-0.15,60,0,OTHER
33,524287,467353,-0.124,1.029,-0.149,60,0,OTHER
34,524287,500145,-0.131,0.978,-0.124,60,0,OTHER
35,524287,524287,-0.139,0.928,-0.095,60,0,OTHER
36,524287,507904,-0.15,0.872,-0.064,60,0,OTHER
37,524287,475136,-0.164,0.828,-0.026,60,0,OTHER
38,507904,442368,-0.187,0.823,0.018,60,0,OTHER
39,475136,409600,-0.211,0.861,0.056,60,0,OTHER
40,442368,376832,-0.23,0.911,0.101,60,0,OTHER
41,409600,350690,-0.239,0.959,0.167,60,0,OTHER
42,376832,345939,-0.244,1.028,0.22,60,0,OTHER
43,350023,346365,-0.257,1.116,0.208,60,0,OTHER
44,385268,349966,-0.264,1.142,0.136,60,0,OTHER
45,418367,361357,-0.255,1.094,0.065,60,0,OTHER
46,451114,377206,-0.241,1.041,0.009,60,0,OTHER
47,483872,396221,-0.236,1.015,-0.041,60,0,OTHER
48,516616,418093,-0.241,1.002,-0.073,60,0,OTHER
49,524287,451038,-0.245,0.973,-0.091,60,0,OTHER
50,524287,483461,-0.245,0.93,-0.101,60,0,OTHER
51,524287,513543,-0.246,0.907,-0.104,60,0,OTHER
52,524287,520638,-0.251,0.92,-0.111,60,0,OTHER
53,524287,524287,-0.257,0.958,-0.116,60,0,OTHER
54,524287,524287,-0.259,1.012,-0.082,60,0,OTHER
55,524287,524287,-0.234,1.05,0.008,60,0,OTHER
56,524287,524287,-0.204,1.047,0.084,60,0,OTHER
57,524287,524287,-0.201,1.023,0.087,60,0,OTHER
58,524287,507904,-0.206,1.0,0.045,60,0,OTHER
59,524287,475136,-0.209,0.986,-0.01,59,98,OTHER
60,524287,488489,-0.216,0.974,-0.063,59,98,OTHER
61,524287,516261,-0.232,0.966,-0.094,59,98,OTHER
62,524287,524287,-0.242,0.964,-0.11,59,98,OTHER
63,524287,518554,-0.242,0.968,-0.122,59,98,OTHER
64,524287,507904,-0.239,0.974,-0.125,59,98,OTHER
65,524287,507786,-0.24,0.976,-0.118,59,98,OTHER
66,524287,524287,-0.243,0.98,-0.105,59,98,OTHER
67,524287,524287,-0.244,0.991,-0.085,59,98,OTHER
68,524287,524287,-0.241,1.002,-0.061,59,98,OTHER
69,524287,524287,-0.237,1.005,-0.045,59,97,OTHER
70,524287,524287,-0.227,1.002,-0.051,59,97,OTHER
71,524287,524287,-0.219,0.998,-0.07,59,97,OTHER
72,524287,524287,-0.219,0.993,-0.09,59,97,OTHER
73,524287,524287,-0.222,0.99,-0.105,59,97,OTHER
74,524287,524287,-0.227,0.987,-0.113,59,97,OTHER
75,524287,507904,-0.231,0.983,-0.118,59,97,OTHER
76,524287,475136,-0.232,0.981,-0.124,59,97,OTHER
77,524287,442368,-0.234,0.981,-0.126,59,97,OTHER
78,524287,437222,-0.236,0.982,-0.125,59,97,OTHER
79,524287,451174,-0.237,0.986,-0.122,59,95,OTHER
80,524287,461907,-0.236,0.989,-0.116,59,95,OTHER
81,524287,440799,-0.231,0.991,-0.108,59,95,OTHER
82,524287,425984,-0.229,0.992,-0.102,59,95,OTHER
83,524287,417263,-0.235,0.992,-0.101,59,95,OTHER
84,524287,423112,-0.239,0.986,-0.101,59,95,OTHER
85,524287,426584,-0.241,0.983,-0.104,59,95,OTHER
86,524287,438280,-0.243,0.983,-0.109,59,95,OTHER
87,524287,439909,-0.245,0.983,-0.115,59,95,OTHER
88,524287,440363,-0.244,0.984,-0.121,59,95,OTHER
89,524287,449861,-0.24,0.982,-0.124,59,94,OTHER
90,524287,409600,-0.233,0.977,-0.124,59,94,OTHER
91,524287,376832,-0.223,0.978,-0.125,59,94,OTHER
92,524287,344064,-0.217,0.979,-0.126,59,94,OTHER
93,524287,311296,-0.21,0.978,-0.132,59,94,OTHER
94,524287,300676,-0.202,0.977,-0.145,59,94,OTHER
95,524287,336022,-0.197,0.976,-0.154,59,94,OTHER
96,524287,361475,-0.191,0.978,-0.155,59,94,OTHER
97,524287,379869,-0.19,0.982,-0.147,59,94,OTHER
98,524287,395021,-0.194,0.985,-0.139,59,94,OTHER
99,524287,397499,-0.196,0.989,-0.132,59,94,OTHER
100,507904,376832,-0.196,0.992,-0.122,59,94,OTHER
101,475136,344064,-0.198,0.992,-0.111,59,94,OTHER
102,464977,311296,-0.204,0.99,-0.103,59,94,OTHER
103,467840,278528,-0.215,0.989,-0.103,59,94,OTHER
104,471218,245760,-0.226,0.986,-0.108,59,94,OTHER
105,470240,212992,-0.231,0.984,-0.114,59,94,OTHER
106,473997,206100,-0.235,0.98,-0.12,59,94,OTHER
107,490244,217700,-0.24,0.98,-0.123,59,94,OTHER
108,496418,222887,-0.244,0.983,-0.125,59,94,OTHER
109,500486,226059,-0.246,0.985,-0.125,59,94,OTHER
110,495164,221749,-0.248,0.986,-0.123,59,94,REST
111,487864,217616,-0.249,0.986,-0.119,59,94,REST
112,482295,215023,-0.249,0.986,-0.116,59,94,REST
113,478918,214896,-0.246,0.986,-0.112,59,94,REST
114,473042,211981,-0.239,0.987,-0.108,59,94,REST
115,474530,213769,-0.228,0.988,-0.109,59,94,REST
116,473914,213829,-0.219,0.988,-0.111,59,94,REST
117,472726,213811,-0.215,0.988,-0.116,59,94,REST
118,474470,216065,-0.212,0.986,-0.121,59,94,REST
119,478907,219520,-0.21,0.982,-0.123,59,93,REST
120,480779,219546,-0.207,0.98,-0.125,59,93,REST
121,481243,218581,-0.204,0.981,-0.125,59,93,REST
122,478516,214985,-0.204,0.983,-0.125,59,93,REST
123,481086,212240,-0.207,0.985,-0.121,59,93,REST
124,482527,210208,-0.211,0.985,-0.112,59,93,REST
125,458752,196608,-0.218,0.987,-0.102,59,93,REST
126,425984,163840,-0.227,0.99,-0.1,59,93,REST
127,393216,163009,-0.233,0.989,-0.102,59,93,REST
128,369461,160874,-0.236,0.987,-0.105,59,93,REST
129,367202,160431,-0.235,0.981,-0.111,59,91,REST
130,369615,162343,-0.236,0.975,-0.115,59,91,REST
131,370875,162074,-0.237,0.976,-0.117,59,91,REST
132,374862,164342,-0.238,0.981,-0.118,59,91,REST
133,380587,169509,-0.238,0.985,-0.118,59,91,REST
134,379275,168676,-0.238,0.987,-0.117,59,91,REST
135,378330,168677,-0.234,0.988,-0.114,59,91,REST
136,377950,168538,-0.229,0.988,-0.11,59,91,REST
137,377495,168042,-0.227,0.987,-0.106,59,91,REST
138,376526,167296,-0.226,0.986,-0.105,59,91,REST
139,378194,168348,-0.227,0.987,-0.108,59,90,REST
140,375309,165677,-0.229,0.989,-0.111,59,90,REST
141,371737,164221,-0.23,0.988,-0.114,59,90,REST
142,381039,172762,-0.23,0.983,-0.114,59,90,REST
143,381283,169852,-0.228,0.979,-0.113,59,90,REST
144,383574,170261,-0.218,0.981,-0.12,59,90,REST
145,387215,174580,-0.213,0.985,-0.125,59,90,REST
146,389398,178787,-0.221,0.992,-0.123,59,90,REST
147,390178,181303,-0.225,0.996,-0.117,59,90,REST
148,386446,178759,-0.223,0.994,-0.108,59,90,REST
149,389740,182652,-0.216,0.993,-0.097,60,88,REST
150,360448,147456,-0.208,0.993,-0.09,60,88,REST
151,327680,134984,-0.197,0.992,-0.093,60,88,REST
152,294912,128087,-0.187,0.991,-0.101,60,88,REST
153,286402,124677,-0.189,0.989,-0.107,60,88,REST
154,281898,120527,-0.199,0.98,-0.106,60,88,REST
155,276029,117958,-0.213,0.971,-0.101,60,88,REST
156,272087,115098,-0.227,0.969,-0.091,60,88,REST
157,278224,120245,-0.237,0.973,-0.085,60,88,REST
158,281968,124263,-0.243,0.981,-0.087,60,88,REST
159,288323,131260,-0.249,0.987,-0.088,60,87,REST
160,289720,132407,-0.25,0.988,-0.083,60,87,REST
161,287495,129240,-0.245,0.985,-0.076,60,87,REST
162,286712,126792,-0.235,0.982,-0.074,60,87,REST
163,282320,122973,-0.231,0.979,-0.073,60,87,REST
164,271349,116638,-0.235,0.978,-0.075,60,87,REST
165,268619,116088,-0.241,0.979,-0.081,60,87,REST
166,270258,116198,-0.246,0.979,-0.078,60,87,REST
167,275719,118856,-0.248,0.976,-0.074,60,87,REST
168,282115,122448,-0.246,0.978,-0.074,60,87,REST
169,285277,123117,-0.246,0.98,-0.076,61,86,REST
170,286320,122497,-0.245,0.982,-0.082,61,86,REST
171,288098,123281,-0.245,0.986,-0.084,61,86,REST
172,288061,122754,-0.246,0.986,-0.081,61,86,REST
173,289330,123341,-0.247,0.986,-0.08,61,86,REST
174,289942,122995,-0.247,0.987,-0.08,61,86,REST
175,262144,104007,-0.246,0.987,-0.082,61,86,REST
176,244168,106451,-0.246,0.989,-0.084,61,86,REST
177,243672,106166,-0.247,0.989,-0.085,61,86,REST
178,243434,104886,-0.247,0.985,-0.083,61,86,REST
179,244545,105263,-0.243,0.983,-0.081,61,86,REST
180,246240,108338,-0.241,0.984,-0.081,61,86,REST
181,249835,113937,-0.245,0.985,-0.08,61,86,REST
182,251791,116896,-0.248,0.986,-0.08,61,86,REST
183,251175,115754,-0.247,0.987,-0.081,61,86,REST
184,249976,113300,-0.239,0.986,-0.081,61,86,REST
185,251066,114221,-0.234,0.985,-0.078,61,86,REST
186,253084,117233,-0.237,0.985,-0.074,61,86,REST
187,253951,120061,-0.242,0.984,-0.074,61,86,REST
188,257011,124533,-0.246,0.985,-0.074,61,86,REST
189,257135,124424,-0.245,0.985,-0.074,61,88,REST
190,254970,121544,-0.242,0.981,-0.072,61,88,REST
191,259074,125505,-0.238,0.981,-0.067,61,88,REST
192,264392,131858,-0.239,0.985,-0.063,61,88,REST
193,268062,136824,-0.246,0.982,-0.061,61,88,REST
194,269484,139821,-0.248,0.982,-0.064,61,88,REST
195,268845,139947,-0.247,0.987,-0.066,61,88,REST
196,268285,139223,-0.246,0.989,-0.061,61,88,REST
197,268369,139590,-0.245,0.989,-0.055,61,88,REST
198,269928,142267,-0.242,0.989,-0.055,61,88,REST
199,270394,142869,-0.238,0.986,-0.059,61,88,REST
200,270185,142242,-0.233,0.983,-0.061,61,88,REST
201,268247,138651,-0.228,0.984,-0.061,61,88,REST
202,267249,135340,-0.227,0.985,-0.059,61,88,REST
203,273851,143784,-0.229,0.984,-0.058,61,88,REST
204,290687,165079,-0.233,0.985,-0.059,61,88,REST
205,311803,190149,-0.239,0.982,-0.06,61,88,REST
206,326348,208744,-0.235,0.973,-0.071,61,88,REST
207,311530,180816,-0.219,0.973,-0.089,61,88,REST
208,305673,172799,-0.201,0.995,-0.083,61,88,REST
209,306208,178885,-0.2,1.017,-0.05,61,88,REST
210,309041,188514,-0.25,1.014,-0.024,61,88,REST
211,308258,192227,-0.297,0.996,-0.04,61,88,REST
212,310011,196931,-0.286,0.979,-0.073,61,88,REST
213,308084,191964,-0.249,0.972,-0.09,61,88,REST
214,304517,181604,-0.214,0.968,-0.077,61,88,REST
215,304543,179371,-0.194,0.963,-0.049,61,88,REST
216,304602,178272,-0.196,0.965,-0.039,61,88,REST
217,307586,180176,-0.212,0.97,-0.05,61,88,REST
218,308529,177794,-0.22,0.974,-0.072,61,88,REST
219,306240,170733,-0.217,0.976,-0.083,61,88,REST
220,302935,162193,-0.214,0.98,-0.079,61,88,REST
221,308984,163109,-0.215,0.984,-0.07,61,88,REST
222,308449,155244,-0.224,0.987,-0.066,61,88,REST
223,309577,156704,-0.234,0.988,-0.069,61,88,REST
224,305956,158138,-0.238,0.992,-0.079,61,88,REST
225,298861,154259,-0.249,1.001,-0.085,61,88,REST
