Sample Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),Activity
0,-0.171,0.344,0.948,60,2
1,-0.182,0.342,0.945,60,2
2,-0.18,0.342,0.945,60,2
3,-0.144,0.352,0.953,60,2
4,-0.119,0.365,0.958,60,2
5,-0.153,0.369,0.947,60,2
6,-0.184,0.39,0.909,60,2
7,-0.194,0.434,0.85,60,2
8,-0.233,0.468,0.792,60,2
9,-0.245,0.457,0.797,60,2
10,-0.166,0.364,0.867,60,2
11,-0.111,0.312,0.877,60,2
12,-0.119,0.356,0.85,60,2
13,-0.144,0.383,0.932,60,2
14,-0.145,0.384,0.977,60,2
15,-0.182,0.367,0.927,60,2
16,-0.22,0.338,0.932,60,2
17,-0.186,0.328,0.956,60,2
18,-0.187,0.34,0.932,60,2
19,-0.182,0.361,0.896,60,2
20,-0.177,0.367,0.89,60,2
21,-0.184,0.357,0.909,60,2
22,-0.171,0.352,0.929,60,2
23,-0.171,0.352,0.929,60,2
24,-0.171,0.352,0.929,60,2
25,-0.169,0.354,0.925,60,2
26,-0.187,0.357,0.907,60,2
27,-0.207,0.362,0.887,60,2
28,-0.226,0.352,0.887,60,2
29,-0.221,0.336,0.904,60,2
30,-0.211,0.324,0.924,60,2
31,-0.215,0.319,0.929,60,2
32,-0.22,0.318,0.918,60,2
33,-0.207,0.312,0.93,60,2
34,-0.201,0.31,0.943,60,2
35,-0.209,0.317,0.937,60,2
36,-0.216,0.33,0.918,60,2
37,-0.227,0.338,0.9,60,2
38,-0.226,0.344,0.901,60,2
39,-0.227,0.343,0.909,60,2
40,-0.21,0.345,0.921,60,2
41,-0.17,0.36,0.927,60,2
42,-0.155,0.379,0.914,60,2
43,-0.192,0.379,0.901,60,2
44,-0.211,0.377,0.909,60,2
45,-0.193,0.39,0.931,60,2
46,-0.244,0.414,0.908,60,2
47,-0.274,0.44,0.879,60,2
48,-0.243,0.452,0.931,60,2
49,-0.22,0.462,0.987,60,2
50,-0.151,0.396,0.984,60,2
51,-0.12,0.262,0.958,60,2
52,-0.153,0.151,0.937,60,2
53,-0.234,0.086,0.895,60,2
54,-0.34,0.11,0.838,60,2
55,-0.405,0.205,0.745,60,2
56,-0.427,0.306,0.507,60,2
57,-0.699,0.578,0.472,60,2
58,-0.786,0.718,0.573,60,2
59,-0.549,0.604,0.619,59,2
60,-0.508,0.554,0.678,59,2
61,-0.554,0.53,0.618,59,2
62,-0.6,0.536,0.555,59,2
63,-0.617,0.527,0.544,59,2
64,-0.643,0.496,0.553,59,2
65,-0.668,0.449,0.576,59,2
66,-0.697,0.387,0.641,59,2
67,-0.707,0.353,0.679,59,2
68,-0.692,0.372,0.649,59,2
69,-0.693,0.406,0.605,59,2
70,-0.693,0.421,0.589,59,2
71,-0.662,0.44,0.595,59,2
72,-0.615,0.464,0.6,59,2
73,-0.616,0.463,0.608,59,2
74,-0.639,0.447,0.614,59,2
75,-0.646,0.437,0.619,59,2
76,-0.656,0.432,0.627,59,2
77,-0.629,0.441,0.633,59,2
78,-0.593,0.461,0.63,59,2
79,-0.595,0.465,0.625,59,2
80,-0.604,0.469,0.609,59,2
81,-0.62,0.465,0.593,59,2
82,-0.673,0.434,0.603,59,2
83,-0.683,0.409,0.627,59,2
84,-0.656,0.415,0.635,59,2
85,-0.645,0.426,0.631,59,2
86,-0.643,0.426,0.626,59,2
87,-0.645,0.426,0.63,59,2
88,-0.619,0.438,0.648,59,2
89,-0.58,0.457,0.66,59,2
90,-0.573,0.47,0.652,59,2
91,-0.584,0.479,0.629,59,2
92,-0.6,0.478,0.616,59,2
93,-0.614,0.473,0.619,59,2
94,-0.616,0.471,0.624,59,2
95,-0.62,0.46,0.634,59,2
96,-0.618,0.451,0.646,59,2
97,-0.6,0.461,0.641,59,2
98,-0.595,0.47,0.618,59,2
99,-0.611,0.456,0.611,59,2
100,-0.624,0.444,0.612,59,2
101,-0.651,0.442,0.602,59,2
102,-0.679,0.437,0.593,59,2
103,-0.684,0.443,0.578,59,2
104,-0.702,0.423,0.581,59,2
105,-0.716,0.363,0.639,59,2
106,-0.683,0.34,0.687,59,2
107,-0.637,0.378,0.692,59,2
108,-0.591,0.429,0.673,59,2
109,-0.569,0.458,0.66,59,2
110,-0.561,0.448,0.687,59,2
111,-0.55,0.437,0.716,59,2
112,-0.533,0.452,0.713,59,2
113,-0.496,0.476,0.704,59,2
114,-0.483,0.494,0.688,59,2
115,-0.491,0.501,0.661,59,2
116,-0.525,0.498,0.642,59,2
117,-0.577,0.484,0.632,59,2
118,-0.604,0.459,0.644,59,2
119,-0.61,0.432,0.673,59,2
120,-0.609,0.428,0.678,59,2
121,-0.604,0.441,0.66,59,2
122,-0.614,0.436,0.658,59,2
123,-0.622,0.426,0.671,59,2
124,-0.591,0.445,0.667,59,2
125,-0.555,0.471,0.652,59,2
126,-0.568,0.472,0.644,59,2
127,-0.589,0.467,0.645,59,2
128,-0.593,0.465,0.654,59,2
129,-0.602,0.458,0.664,59,2
130,-0.588,0.458,0.669,59,2
131,-0.552,0.471,0.671,59,2
132,-0.547,0.48,0.656,59,2
133,-0.564,0.477,0.645,59,2
134,-0.577,0.475,0.638,59,2
135,-0.597,0.467,0.624,59,2
136,-0.642,0.435,0.622,59,2
137,-0.676,0.399,0.646,59,2
138,-0.666,0.395,0.655,59,2
139,-0.66,0.401,0.65,59,2
140,-0.67,0.388,0.658,59,2
141,-0.682,0.394,0.643,59,2
142,-0.624,0.43,0.647,59,2
143,-0.54,0.461,0.67,59,2
144,-0.531,0.478,0.657,59,2
145,-0.556,0.484,0.635,59,2
146,-0.583,0.478,0.639,59,2
147,-0.584,0.468,0.655,59,2
148,-0.576,0.462,0.666,59,2
149,-0.586,0.454,0.673,59,2
150,-0.582,0.459,0.666,59,2
151,-0.574,0.467,0.648,59,2
152,-0.6,0.46,0.628,59,2
